templateId,monster,rarity,slot,skillId,skillName,elements,unique,growth,runtimeOverride,level,target,cooldown,effects
"slime","スライム","★3","S1","slime_s1","たたく","FIRE|GRASS|ELECTRIC|WATER|LIGHT|DARK","","levelOverrides","false","1","SINGLE_ENEMY","0","ダメージ倍率 1.00倍"
"slime","スライム","★3","S1","slime_s1","たたく","FIRE|GRASS|ELECTRIC|WATER|LIGHT|DARK","","levelOverrides","false","2","SINGLE_ENEMY","0","ダメージ倍率 1.10倍"
"slime","スライム","★3","S1","slime_s1","たたく","FIRE|GRASS|ELECTRIC|WATER|LIGHT|DARK","","levelOverrides","false","3","SINGLE_ENEMY","0","ダメージ倍率 1.15倍"
"slime","スライム","★3","S1","slime_s1","たたく","FIRE|GRASS|ELECTRIC|WATER|LIGHT|DARK","","levelOverrides","false","4","SINGLE_ENEMY","0","ダメージ倍率 1.20倍"
"slime","スライム","★3","S1","slime_s1","たたく","FIRE|GRASS|ELECTRIC|WATER|LIGHT|DARK","","levelOverrides","false","5","SINGLE_ENEMY","0","ダメージ倍率 1.25倍"
"slime","スライム","★3","S2","slime_s2_a","エレメンタルバースト","FIRE|WATER","","levelOverrides","false","1","ALL_ENEMIES","3","ダメージ倍率 1.05倍 / 45%で攻撃力-50% (2ターン) / 50%で強化不可 (2ターン)"
"slime","スライム","★3","S2","slime_s2_a","エレメンタルバースト","FIRE|WATER","","levelOverrides","false","2","ALL_ENEMIES","3","ダメージ倍率 1.15倍 / 50%で攻撃力-50% (2ターン) / 50%で強化不可 (2ターン)"
"slime","スライム","★3","S2","slime_s2_a","エレメンタルバースト","FIRE|WATER","","levelOverrides","false","3","ALL_ENEMIES","3","ダメージ倍率 1.20倍 / 60%で攻撃力-50% (2ターン) / 50%で強化不可 (2ターン)"
"slime","スライム","★3","S2","slime_s2_a","エレメンタルバースト","FIRE|WATER","","levelOverrides","false","4","ALL_ENEMIES","3","ダメージ倍率 1.25倍 / 60%で攻撃力-50% (2ターン) / 50%で強化不可 (2ターン)"
"slime","スライム","★3","S2","slime_s2_a","エレメンタルバースト","FIRE|WATER","","levelOverrides","false","5","ALL_ENEMIES","2","ダメージ倍率 1.25倍 / 60%で攻撃力-50% (3ターン) / 50%で強化不可 (2ターン)"
"slime","スライム","★3","S2","slime_s2_b","どくづき","GRASS|LIGHT","","levelOverrides","false","1","SINGLE_ENEMY","3","ダメージ倍率 1.30倍 / 60%で毒1スタック (1スタックにつき最大HPの5%、最大5スタック、2ターン)"
"slime","スライム","★3","S2","slime_s2_b","どくづき","GRASS|LIGHT","","levelOverrides","false","2","SINGLE_ENEMY","3","ダメージ倍率 1.40倍 / 65%で毒1スタック (1スタックにつき最大HPの6%、最大5スタック、2ターン)"
"slime","スライム","★3","S2","slime_s2_b","どくづき","GRASS|LIGHT","","levelOverrides","false","3","SINGLE_ENEMY","3","ダメージ倍率 1.50倍 / 75%で毒1スタック (1スタックにつき最大HPの6%、最大5スタック、2ターン)"
"slime","スライム","★3","S2","slime_s2_b","どくづき","GRASS|LIGHT","","levelOverrides","false","4","SINGLE_ENEMY","3","ダメージ倍率 1.55倍 / 75%で毒1スタック (1スタックにつき最大HPの6%、最大5スタック、2ターン)"
"slime","スライム","★3","S2","slime_s2_b","どくづき","GRASS|LIGHT","","levelOverrides","false","5","SINGLE_ENEMY","2","ダメージ倍率 1.55倍 / 75%で毒1スタック (1スタックにつき最大HPの6%、最大5スタック、3ターン)"
"slime","スライム","★3","S2","slime_s2_c","ねばつく一撃","ELECTRIC|DARK","","levelOverrides","false","1","SINGLE_ENEMY","3","ダメージ倍率 1.30倍 / 70%で速度-30% (2ターン)"
"slime","スライム","★3","S2","slime_s2_c","ねばつく一撃","ELECTRIC|DARK","","levelOverrides","false","2","SINGLE_ENEMY","3","ダメージ倍率 1.40倍 / 75%で速度-30% (2ターン)"
"slime","スライム","★3","S2","slime_s2_c","ねばつく一撃","ELECTRIC|DARK","","levelOverrides","false","3","SINGLE_ENEMY","3","ダメージ倍率 1.50倍 / 85%で速度-30% (2ターン)"
"slime","スライム","★3","S2","slime_s2_c","ねばつく一撃","ELECTRIC|DARK","","levelOverrides","false","4","SINGLE_ENEMY","3","ダメージ倍率 1.55倍 / 85%で速度-30% (2ターン)"
"slime","スライム","★3","S2","slime_s2_c","ねばつく一撃","ELECTRIC|DARK","","levelOverrides","false","5","SINGLE_ENEMY","2","ダメージ倍率 1.55倍 / 85%で速度-30% (3ターン)"
"slime","スライム","★3","S3","slime_s3_a","げんかいとっぱ","FIRE","","levelOverrides","false","1","ALL_ENEMIES","4","ダメージ倍率 1.80倍 / 相手を倒したら自身の行動ゲージ+20% / 自身の攻撃力+30% (2ターン)"
"slime","スライム","★3","S3","slime_s3_a","げんかいとっぱ","FIRE","","levelOverrides","false","2","ALL_ENEMIES","4","ダメージ倍率 1.95倍 / 相手を倒したら自身の行動ゲージ+25% / 自身の攻撃力+30% (2ターン)"
"slime","スライム","★3","S3","slime_s3_a","げんかいとっぱ","FIRE","","levelOverrides","false","3","ALL_ENEMIES","4","ダメージ倍率 2.05倍 / 相手を倒したら自身の行動ゲージ+25% / 自身の攻撃力+30% (2ターン)"
"slime","スライム","★3","S3","slime_s3_a","げんかいとっぱ","FIRE","","levelOverrides","false","4","ALL_ENEMIES","4","ダメージ倍率 2.15倍 / 相手を倒したら自身の行動ゲージ+25% / 自身の攻撃力+30% (2ターン)"
"slime","スライム","★3","S3","slime_s3_a","げんかいとっぱ","FIRE","","levelOverrides","false","5","ALL_ENEMIES","3","ダメージ倍率 2.15倍 / 相手を倒したら自身の行動ゲージ+25% / 自身の攻撃力+30% (2ターン)"
"slime","スライム","★3","S3","slime_s3_b","毒噴射","GRASS|WATER","","levelOverrides","false","1","ALL_ENEMIES","5","ダメージ倍率 1.10倍 × 2回 / 70%で毒1スタック (1スタックにつき最大HPの5%、最大5スタック、2ターン)"
"slime","スライム","★3","S3","slime_s3_b","毒噴射","GRASS|WATER","","levelOverrides","false","2","ALL_ENEMIES","5","ダメージ倍率 1.20倍 × 2回 / 75%で毒1スタック (1スタックにつき最大HPの6%、最大5スタック、2ターン)"
"slime","スライム","★3","S3","slime_s3_b","毒噴射","GRASS|WATER","","levelOverrides","false","3","ALL_ENEMIES","5","ダメージ倍率 1.25倍 × 2回 / 85%で毒1スタック (1スタックにつき最大HPの6%、最大5スタック、2ターン)"
